iter	Passed	Remaining
653	2609	1380
654	2615	1377
655	2620	1374
656	2624	1370
657	2629	1366
658	2631	1361
659	2634	1357
660	2637	1352
661	2640	1347
662	2643	1343
663	2646	1339
664	2649	1334
665	2653	1330
666	2657	1326
667	2660	1322
668	2663	1318
669	2668	1314
670	2671	1309
671	2675	1305
672	2679	1301
673	2681	1297
674	2685	1292
675	2688	1288
676	2690	1283
677	2694	1279
678	2697	1275
679	2701	1271
680	2704	1266
681	2707	1262
682	2710	1257
683	2712	1253
684	2715	1248
685	2718	1244
686	2722	1240
687	2725	1235
688	2727	1231
689	2731	1227
690	2736	1223
691	2739	1219
692	2743	1215
693	2746	1211
694	2749	1206
695	2753	1202
696	2756	1198
697	2759	1194
698	2765	1190
699	2768	1186
700	2772	1182
701	2776	1178
702	2778	1174
703	2782	1170
704	2786	1165
705	2788	1161
706	2792	1157
707	2796	1153
708	2799	1149
709	2802	1144
710	2806	1140
711	2808	1136
712	2812	1131
713	2815	1127
714	2818	1123
715	2823	1119
716	2825	1115
717	2828	1110
718	2831	1106
719	2834	1102
720	2838	1098
721	2842	1094
722	2845	1090
723	2848	1085
724	2852	1081
725	2855	1077
726	2859	1073
727	2862	1069
728	2865	1065
729	2868	1061
730	2871	1056
731	2875	1052
732	2878	1048
733	2881	1044
734	2886	1040
735	2890	1036
736	2894	1032
737	2897	1028
738	2900	1024
739	2903	1020
740	2906	1015
741	2913	1013
742	2921	1010
743	2924	1006
744	2927	1001
745	2932	998
746	2935	994
747	2939	990
748	2944	986
749	2948	982
750	2951	978
751	2955	974
752	2958	970
753	2962	966
754	2967	963
755	2972	959
756	2974	954
757	2978	950
758	2981	946
759	2985	942
760	2990	939
761	2993	935
762	2997	931
763	3001	927
764	3005	923
765	3010	919
766	3014	915
767	3017	911
768	3022	907
769	3024	903
770	3027	899
771	3031	895
772	3034	891
773	3038	887
774	3041	882
775	3044	878
776	3048	874
777	3051	870
778	3054	866
779	3057	862
780	3060	858
781	3063	854
782	3066	849
783	3071	846
784	3075	842
785	3078	838
786	3081	833
787	3086	830
788	3089	826
789	3092	821
790	3097	818
791	3102	814
792	3105	810
793	3109	806
794	3113	802
795	3118	799
796	3121	794
797	3127	791
798	3133	788
799	3138	784
800	3141	780
801	3144	776
802	3148	772
803	3151	768
804	3154	764
805	3157	760
806	3161	756
807	3164	752
808	3168	747
809	3170	743
810	3173	739
811	3177	735
812	3180	731
813	3182	727
814	3185	723
815	3188	719
816	3191	714
817	3194	710
818	3197	706
819	3200	702
820	3203	698
821	3206	694
822	3209	690
823	3212	686
824	3215	681
825	3218	677
826	3222	674
827	3226	670
828	3230	666
829	3235	662
830	3239	658
831	3241	654
832	3244	650
833	3247	646
834	3251	642
835	3255	638
836	3257	634
837	3260	630
838	3262	626
839	3265	621
840	3267	617
841	3269	613
842	3271	609
843	3274	605
844	3277	601
845	3279	597
846	3282	592
847	3284	588
848	3286	584
849	3288	580
850	3291	576
851	3293	572
852	3296	568
853	3298	563
854	3300	559
855	3302	555
856	3304	551
857	3306	547
858	3308	543
859	3311	539
860	3313	534
861	3315	530
862	3317	526
863	3319	522
864	3321	518
865	3323	514
866	3325	510
867	3326	505
868	3328	501
869	3330	497
870	3332	493
871	3334	489
872	3335	485
873	3337	481
874	3339	477
875	3341	473
876	3343	468
877	3345	464
878	3347	460
879	3349	456
880	3350	452
881	3352	448
882	3354	444
883	3356	440
884	3358	436
885	3360	432
886	3361	428
887	3363	424
888	3365	420
889	3367	416
890	3369	412
891	3370	408
892	3372	404
893	3374	400
894	3376	396
895	3378	392
896	3380	388
897	3381	384
898	3383	380
899	3385	376
900	3387	372
901	3388	368
902	3390	364
903	3392	360
904	3394	356
905	3395	352
906	3397	348
907	3399	344
908	3401	340
909	3403	336
910	3405	332
911	3407	328
912	3409	324
913	3411	320
914	3412	317
915	3414	313
916	3416	309
917	3418	305
918	3420	301
919	3422	297
920	3423	293
921	3424	289
922	3426	285
923	3428	282
924	3430	278
925	3432	274
926	3433	270
927	3435	266
928	3437	262
929	3439	258
930	3441	255
931	3442	251
932	3445	247
933	3446	243
934	3448	239
935	3450	235
936	3452	232
937	3454	228
938	3456	224
939	3458	220
940	3459	216
941	3461	213
942	3463	209
943	3466	205
944	3468	201
945	3470	198
946	3472	194
947	3474	190
948	3476	186
949	3478	183
950	3480	179
951	3481	175
952	3483	171
953	3485	168
954	3487	164
955	3489	160
956	3491	156
957	3493	153
958	3495	149
959	3497	145
960	3499	142
961	3501	138
962	3503	134
963	3505	130
964	3507	127
965	3509	123
966	3511	119
967	3513	116
968	3515	112
969	3517	108
970	3518	105
971	3520	101
972	3522	97
973	3524	94
974	3525	90
975	3527	86
976	3529	83
977	3531	79
978	3533	75
979	3534	72
980	3536	68
981	3538	64
982	3540	61
983	3542	57
984	3543	53
985	3545	50
986	3547	46
987	3548	43
988	3550	39
989	3552	35
990	3554	32
991	3555	28
992	3557	25
993	3559	21
994	3560	17
995	3562	14
996	3564	10
997	3565	7
998	3567	3
999	3569	0
96	3928	11
997	3930	7
998	3933	3
999	3935	0
